               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036657,            0.030643,             0.02432,             0.92622,             0.87764,             0.92648,             0.61532,              0.0335,            0.012472,            0.011905,           0.0082675,           0.0082675,           0.0082675
                  37,            0.036667,            0.030398,            0.024366,             0.93591,             0.87248,             0.92841,             0.61587,            0.033217,            0.012326,            0.011833,            0.008218,            0.008218,            0.008218
                  38,            0.036368,            0.030205,            0.024048,             0.93808,             0.87345,             0.92953,              0.6197,             0.03318,            0.012294,            0.011717,           0.0081685,           0.0081685,           0.0081685
                  39,            0.036342,            0.030319,            0.023884,             0.93791,             0.87413,             0.93066,             0.61732,            0.033276,            0.012308,            0.011431,            0.008119,            0.008119,            0.008119
                  40,            0.036309,            0.030117,            0.023905,             0.93876,             0.87529,             0.92952,             0.61905,            0.033196,            0.012254,            0.011332,           0.0080695,           0.0080695,           0.0080695
                  41,            0.036158,            0.030243,            0.023879,             0.93803,             0.87717,             0.92978,             0.62047,            0.033165,             0.01229,            0.011329,             0.00802,             0.00802,             0.00802
                  42,            0.036097,            0.030085,            0.023825,             0.93808,             0.87861,             0.93372,             0.62555,            0.032905,            0.012265,            0.011363,           0.0079705,           0.0079705,           0.0079705
                  43,            0.036166,            0.030031,            0.023621,             0.94012,             0.88082,              0.9325,              0.6242,            0.032942,             0.01228,            0.011472,            0.007921,            0.007921,            0.007921
                  44,            0.036042,            0.030223,            0.023466,             0.93881,             0.88225,             0.93472,              0.6262,            0.032812,            0.012226,            0.011165,           0.0078715,           0.0078715,           0.0078715
                  45,            0.036022,             0.03025,            0.023702,             0.94119,             0.88411,             0.93453,             0.62633,            0.032872,              0.0122,            0.011053,            0.007822,            0.007822,            0.007822
                  46,            0.035938,            0.030035,            0.023488,             0.93952,             0.88311,             0.93339,             0.62597,            0.032886,            0.012182,            0.011211,           0.0077725,           0.0077725,           0.0077725
                  47,            0.035908,            0.029971,            0.023409,             0.93784,              0.8885,             0.93609,             0.62805,            0.032774,            0.012212,            0.011023,            0.007723,            0.007723,            0.007723
                  48,            0.035978,            0.030164,            0.023554,               0.936,             0.88708,             0.93573,             0.62698,            0.032792,            0.012236,             0.01108,           0.0076735,           0.0076735,           0.0076735
                  49,            0.035793,            0.029999,             0.02332,             0.93654,             0.88634,             0.93572,             0.62968,            0.032708,            0.012228,            0.011035,            0.007624,            0.007624,            0.007624
                  50,            0.035727,             0.02993,            0.023185,             0.93755,             0.88661,             0.93611,             0.62967,            0.032688,            0.012189,            0.010751,           0.0075745,           0.0075745,           0.0075745
                  51,            0.035662,             0.02982,            0.023265,              0.9395,             0.88622,             0.93722,             0.62988,            0.032681,            0.012167,            0.010657,            0.007525,            0.007525,            0.007525
                  52,            0.035621,            0.029693,            0.023268,             0.93712,             0.89067,             0.93696,             0.63028,            0.032693,            0.012155,            0.010832,           0.0074755,           0.0074755,           0.0074755
                  53,             0.03549,             0.02952,            0.022871,             0.93938,             0.89278,               0.938,             0.63137,            0.032564,            0.012124,            0.010863,            0.007426,            0.007426,            0.007426
                  54,            0.035654,            0.029588,            0.023071,             0.94039,             0.88911,             0.93763,             0.63345,            0.032505,             0.01212,            0.010775,           0.0073765,           0.0073765,           0.0073765
                  55,            0.035538,            0.029545,            0.022794,             0.93968,             0.89274,              0.9371,             0.63356,            0.032475,            0.012104,            0.010708,            0.007327,            0.007327,            0.007327
                  56,             0.03513,             0.02905,            0.022499,             0.94019,             0.89389,             0.93797,              0.6339,            0.032463,              0.0121,            0.010529,           0.0072775,           0.0072775,           0.0072775
                  57,            0.035372,            0.029452,            0.022839,             0.93455,             0.89739,               0.938,              0.6345,             0.03243,            0.012089,            0.010476,            0.007228,            0.007228,            0.007228
                  58,            0.035349,            0.029538,            0.022678,             0.93289,             0.89805,               0.938,             0.63504,            0.032379,            0.012081,            0.010506,           0.0071785,           0.0071785,           0.0071785
                  59,            0.035388,            0.029699,            0.022895,             0.93486,             0.89752,             0.93838,             0.63588,            0.032304,            0.012071,            0.010492,            0.007129,            0.007129,            0.007129
                  60,            0.035046,            0.029114,            0.022549,             0.93837,             0.89644,             0.93825,             0.63587,            0.032275,            0.012073,            0.010479,           0.0070795,           0.0070795,           0.0070795
                  61,            0.035103,            0.029332,            0.022499,             0.93877,             0.89642,             0.93953,              0.6352,            0.032221,            0.012061,            0.010458,             0.00703,             0.00703,             0.00703
                  62,            0.035296,            0.029555,            0.022732,             0.93991,             0.89449,             0.93708,             0.63642,             0.03218,            0.012045,            0.010444,           0.0069805,           0.0069805,           0.0069805
                  63,            0.035142,            0.029393,            0.022535,             0.93824,             0.89569,             0.93804,             0.63708,            0.032155,            0.012031,            0.010443,            0.006931,            0.006931,            0.006931
                  64,            0.035108,            0.029392,             0.02239,             0.93931,             0.89532,             0.93804,               0.638,            0.032143,            0.012025,              0.0104,           0.0068815,           0.0068815,           0.0068815
                  65,            0.035096,            0.029291,            0.022458,             0.94177,             0.89564,             0.93976,             0.63816,            0.032124,             0.01202,            0.010379,            0.006832,            0.006832,            0.006832
                  66,            0.034906,            0.029229,             0.02234,             0.94063,             0.89698,             0.93965,              0.6385,            0.032122,            0.012023,            0.010365,           0.0067825,           0.0067825,           0.0067825
                  67,             0.03497,            0.029026,            0.022175,             0.94104,             0.89871,              0.9388,             0.63864,            0.032106,            0.012025,            0.010375,            0.006733,            0.006733,            0.006733
                  68,            0.034862,            0.029022,             0.02213,             0.94169,             0.89808,             0.94015,             0.63939,            0.032078,            0.012022,            0.010369,           0.0066835,           0.0066835,           0.0066835
                  69,            0.034808,            0.029178,            0.022133,             0.94311,              0.8992,             0.94074,             0.63971,            0.032044,            0.012012,             0.01036,            0.006634,            0.006634,            0.006634
                  70,            0.034795,            0.028899,            0.022275,             0.94395,             0.89929,             0.94082,             0.64032,            0.032021,            0.012006,            0.010325,           0.0065845,           0.0065845,           0.0065845
                  71,            0.034823,            0.028937,            0.022317,             0.94392,             0.89886,             0.93971,             0.64036,            0.031996,               0.012,            0.010302,            0.006535,            0.006535,            0.006535
                  72,            0.034692,            0.029026,            0.022173,             0.94476,             0.89953,             0.94089,             0.64017,            0.031977,            0.011992,            0.010269,           0.0064855,           0.0064855,           0.0064855
                  73,            0.034588,            0.028743,            0.021951,             0.94379,             0.90122,             0.94243,              0.6406,            0.031957,            0.011988,            0.010225,            0.006436,            0.006436,            0.006436
                  74,            0.034512,            0.028994,            0.022045,             0.94265,             0.90197,             0.94255,             0.64058,            0.031947,            0.011986,            0.010202,           0.0063865,           0.0063865,           0.0063865
                  75,            0.034402,            0.028726,            0.021896,              0.9441,             0.90095,             0.94275,             0.64137,            0.031931,            0.011982,            0.010178,            0.006337,            0.006337,            0.006337
                  76,             0.03449,            0.028917,            0.021781,             0.94335,             0.90149,             0.94278,             0.64152,            0.031917,            0.011981,            0.010152,           0.0062875,           0.0062875,           0.0062875
                  77,            0.034619,            0.028985,            0.022015,             0.94361,             0.90238,             0.94281,             0.64185,            0.031907,            0.011982,            0.010123,            0.006238,            0.006238,            0.006238
                  78,            0.034436,            0.028585,            0.021729,             0.94673,             0.89929,             0.94307,             0.64184,            0.031898,            0.011981,              0.0101,           0.0061885,           0.0061885,           0.0061885
                  79,            0.034181,            0.028393,            0.021662,             0.94429,             0.90331,             0.94318,             0.64173,             0.03189,            0.011976,            0.010086,            0.006139,            0.006139,            0.006139
                  80,            0.034345,            0.028468,            0.021613,             0.94447,             0.90306,             0.94331,             0.64143,            0.031885,            0.011973,            0.010082,           0.0060895,           0.0060895,           0.0060895
                  81,            0.034307,            0.028717,            0.021678,             0.94549,             0.90292,             0.94332,             0.64176,            0.031884,             0.01197,            0.010074,             0.00604,             0.00604,             0.00604
