               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 161,            0.030901,             0.02571,            0.017437,             0.95032,              0.9154,             0.94681,              0.6517,            0.031514,            0.011858,           0.0093011,             0.00208,             0.00208,             0.00208
                 162,            0.030741,            0.025298,            0.017397,             0.95039,             0.91545,             0.94694,             0.65137,            0.031511,            0.011858,           0.0092971,           0.0020305,           0.0020305,           0.0020305
                 163,            0.030793,            0.025539,            0.017393,             0.95041,             0.91571,             0.94705,             0.65125,            0.031506,            0.011856,           0.0092934,            0.001981,            0.001981,            0.001981
                 164,            0.030871,            0.025516,            0.017472,             0.95057,             0.91571,             0.94729,             0.65161,              0.0315,            0.011856,           0.0092834,           0.0019315,           0.0019315,           0.0019315
                 165,            0.030639,            0.025438,             0.01728,             0.95044,             0.91577,             0.94759,             0.65154,            0.031494,            0.011854,           0.0092753,            0.001882,            0.001882,            0.001882
                 166,            0.030512,            0.025158,            0.017152,             0.95023,              0.9159,             0.94792,             0.65192,            0.031488,            0.011854,           0.0092689,           0.0018325,           0.0018325,           0.0018325
                 167,            0.030656,             0.02571,            0.017282,             0.94992,             0.91561,             0.94744,             0.65196,            0.031484,            0.011852,           0.0092624,            0.001783,            0.001783,            0.001783
                 168,            0.030592,             0.02531,            0.016937,             0.94979,             0.91591,             0.94742,             0.65234,            0.031475,            0.011851,           0.0092576,           0.0017335,           0.0017335,           0.0017335
                 169,            0.030602,             0.02525,            0.017258,             0.94985,             0.91613,             0.94732,             0.65244,            0.031468,             0.01185,           0.0092509,            0.001684,            0.001684,            0.001684
                 170,            0.030535,            0.025414,            0.017119,             0.94961,             0.91669,             0.94739,             0.65266,            0.031461,            0.011849,            0.009241,           0.0016345,           0.0016345,           0.0016345
                 171,            0.030505,            0.025198,            0.016975,             0.94943,             0.91653,             0.94744,             0.65264,            0.031455,            0.011848,           0.0092335,            0.001585,            0.001585,            0.001585
                 172,            0.030444,            0.025256,            0.016797,             0.94916,             0.91693,             0.94742,             0.65284,            0.031451,            0.011847,           0.0092298,           0.0015355,           0.0015355,           0.0015355
                 173,            0.030297,            0.025265,            0.016893,             0.94933,             0.91699,             0.94756,             0.65262,            0.031446,            0.011845,           0.0092282,            0.001486,            0.001486,            0.001486
                 174,            0.030315,            0.024943,            0.016745,             0.94941,             0.91667,             0.94766,             0.65278,            0.031442,            0.011846,           0.0092267,           0.0014365,           0.0014365,           0.0014365
                 175,            0.030318,            0.025278,            0.016879,             0.94974,             0.91613,              0.9477,             0.65289,            0.031435,            0.011846,           0.0092263,            0.001387,            0.001387,            0.001387
                 176,            0.030091,            0.024757,            0.016552,             0.94968,             0.91693,             0.94768,               0.653,            0.031429,            0.011845,           0.0092237,           0.0013375,           0.0013375,           0.0013375
                 177,            0.030225,            0.025168,             0.01662,             0.94909,             0.91694,             0.94691,             0.65288,             0.03142,            0.011843,           0.0092204,            0.001288,            0.001288,            0.001288
                 178,            0.030126,            0.024912,            0.016518,             0.94919,             0.91702,             0.94692,             0.65286,            0.031412,            0.011843,           0.0092177,           0.0012385,           0.0012385,           0.0012385
                 179,            0.029882,            0.024847,            0.016277,             0.94924,             0.91677,             0.94701,             0.65323,            0.031405,            0.011841,            0.009217,            0.001189,            0.001189,            0.001189
                 180,            0.030104,            0.025127,            0.016489,             0.94882,             0.91652,             0.94695,             0.65281,            0.031398,            0.011842,           0.0092175,           0.0011395,           0.0011395,           0.0011395
                 181,            0.029945,            0.024646,            0.016436,             0.94885,             0.91636,             0.94704,             0.65286,            0.031389,            0.011841,           0.0092159,             0.00109,             0.00109,             0.00109
                 182,            0.029963,            0.024829,            0.016383,             0.94912,             0.91623,             0.94707,             0.65324,             0.03138,            0.011841,           0.0092185,           0.0010405,           0.0010405,           0.0010405
                 183,            0.029824,            0.024676,              0.0163,             0.94992,             0.91612,             0.94715,             0.65364,            0.031376,            0.011842,           0.0092157,            0.000991,            0.000991,            0.000991
                 184,            0.029687,            0.024536,            0.016089,             0.95025,             0.91616,             0.94722,             0.65413,            0.031371,            0.011842,           0.0092145,           0.0009415,           0.0009415,           0.0009415
                 185,            0.029506,            0.024451,            0.015887,             0.95033,             0.91564,             0.94743,             0.65374,            0.031367,            0.011843,           0.0092178,            0.000892,            0.000892,            0.000892
                 186,            0.029634,            0.024512,            0.015999,             0.95031,             0.91572,             0.94728,             0.65364,             0.03136,            0.011843,           0.0092146,           0.0008425,           0.0008425,           0.0008425
                 187,            0.029441,            0.024163,            0.015837,             0.95045,             0.91487,             0.94736,             0.65402,            0.031355,            0.011843,           0.0092117,            0.000793,            0.000793,            0.000793
                 188,             0.02948,            0.024151,            0.015813,             0.95084,             0.91486,             0.94758,             0.65379,            0.031353,            0.011845,           0.0092112,           0.0007435,           0.0007435,           0.0007435
                 189,            0.029283,            0.024389,            0.015585,             0.95012,             0.91449,             0.94714,             0.65381,            0.031348,            0.011843,           0.0092102,            0.000694,            0.000694,            0.000694
                 190,            0.029481,            0.024535,            0.015936,             0.95022,             0.91429,             0.94712,              0.6541,            0.031343,            0.011844,            0.009209,           0.0006445,           0.0006445,           0.0006445
                 191,            0.029287,            0.024165,            0.015755,             0.95039,             0.91442,             0.94726,             0.65422,            0.031339,            0.011843,           0.0092084,            0.000595,            0.000595,            0.000595
                 192,            0.029123,            0.024106,            0.015524,             0.95035,             0.91469,             0.94729,             0.65468,            0.031336,            0.011844,           0.0092067,           0.0005455,           0.0005455,           0.0005455
                 193,            0.029056,            0.024035,            0.015415,             0.95088,             0.91483,             0.94733,             0.65496,            0.031331,            0.011845,           0.0092044,            0.000496,            0.000496,            0.000496
                 194,            0.029248,            0.023911,            0.015437,             0.95114,             0.91493,              0.9474,             0.65502,            0.031327,            0.011846,           0.0092037,           0.0004465,           0.0004465,           0.0004465
                 195,            0.029218,            0.024033,            0.015494,             0.95134,             0.91477,             0.94743,             0.65515,            0.031321,            0.011845,           0.0092016,            0.000397,            0.000397,            0.000397
                 196,            0.028895,            0.023795,            0.015212,             0.95146,              0.9147,             0.94751,             0.65536,            0.031317,            0.011847,           0.0091999,           0.0003475,           0.0003475,           0.0003475
                 197,            0.028896,             0.02381,            0.015306,             0.95172,             0.91501,             0.94739,             0.65535,            0.031314,            0.011847,            0.009199,            0.000298,            0.000298,            0.000298
                 198,            0.028957,            0.023754,            0.015271,             0.95158,             0.91554,             0.94742,              0.6555,            0.031307,            0.011847,           0.0092001,           0.0002485,           0.0002485,           0.0002485
                 199,             0.02868,            0.023368,            0.014907,             0.95168,             0.91497,             0.94753,             0.65549,            0.031303,            0.011848,           0.0091978,            0.000199,            0.000199,            0.000199
